id,year,t_turbines,t_capacity,avg,Low,High,Worst,Best,Running_T,Running_C,Running_A
0,1982,62,13763,221.983871,65,660,,,62,13763,221.983871
1,1983,948,79680,84.05063291,60,100,,,1010,93443,92.51782178
2,1984,196,13760,70.20408163,60,90,,,1206,107203,88.89137645
3,1985,1195,107669,90.09958159,65,595,,,2401,214872,89.49271137
4,1986,212,22803,107.5613208,65,1000,,,2613,237675,90.9586682
5,1987,386,39205,101.5673575,95,108,,,2999,276880,92.32410804
6,1988,277,35410,127.833935,105,160,,,3276,312290,95.32661783
,1989,,,90,,,,,,,
,1990,399,80900,202.7568922,100,350,,,,,
,1991,,,90,,,,,,,
,1992,2,750,375,250,500,,,,,
,1993,,,,,,,,,,
,1994,,,,,,,,,,
,1995,,,,,,,,,,
,1996,,,,,,,,,,
,1997,,,,,,,,,,
,1998,,,,,,,,,,
,1999,,,,,,,,,,
,2000,,,,,,,,,,
,2001,,,,,,,,,,
,2002,,,,,,,,,,
,2003,,,,,,,,,,
,2004,,,,,,,,,,
,2005,,,,,,,,,,
,2006,,,,,,,,,,
,2007,,,,,,,,,,
,2008,,,,,,,,,,
,2009,,,,,,,,,,
,2010,,,,,,,,,,
,2011,,,,,,,,,,
,2012,,,,,,,,,,
,2013,,,,,,,,,,
,2014,,,,,,,,,,
,2015,,,,,,,,,,
,2016,,,,,,,,,,
,2017,,,,,,,,,,
,2018,,,,,,,,,,
,2019,,,,,,,,,,
,2020,,,,,,,,,,
